User with IP 10.223.157.186, made request of type GET, on date and time 15/Jul/2009:14:58:59 -0700, accessed request path /, used HTTP/1.1 protocol, returned 403 status code, received 202 bytes of data.
User with IP 10.56.112.192, made request of type GET, on date and time 28/Jan/2010:03:30:42 -0800, accessed request path /assets/img/banner/ten-years-banner.png, used HTTP/1.1 protocol, returned 200 status code, received 6208 bytes of data.
User with IP 10.56.112.192, made request of type GET, on date and time 28/Jan/2010:03:30:38 -0800, accessed request path /images/frontpagepics/0000/0015/Pontypoolweb.jpg, used HTTP/1.1 protocol, returned 200 status code, received 290177 bytes of data.
User with IP 10.56.112.192, made request of type GET, on date and time 28/Jan/2010:03:30:38 -0800, accessed request path /images/frontpagepics/0000/0017/Fireball_Image_for_Website_Front.jpg, used HTTP/1.1 protocol, returned 200 status code, received 325667 bytes of data.
User with IP 10.56.112.192, made request of type GET, on date and time 28/Jan/2010:03:30:50 -0800, accessed request path /favicon.ico, used HTTP/1.1 protocol, returned 200 status code, received 1406 bytes of data.
User with IP 10.56.112.192, made request of type GET, on date and time 28/Jan/2010:03:30:52 -0800, accessed request path /assets/img/banner/ten-years-banner-black.jpg, used HTTP/1.1 protocol, returned 200 status code, received 16846 bytes of data.
User with IP 10.216.113.172, made request of type GET, on date and time 28/Jan/2010:03:39:35 -0800, accessed request path /, used HTTP/1.1 protocol, returned 200 status code, received 4676 bytes of data.
User with IP 10.231.217.35, made request of type GET, on date and time 28/Jan/2010:03:51:40 -0800, accessed request path /images/filmpics/0000/1119/F1110017_thumb.jpg, used HTTP/1.1 protocol, returned 200 status code, received 75812 bytes of data.
User with IP 10.231.217.35, made request of type GET, on date and time 28/Jan/2010:03:51:40 -0800, accessed request path /assets/img/banner/ten-years-banner-black.jpg, used HTTP/1.1 protocol, returned 200 status code, received 16846 bytes of data.
User with IP 10.231.217.35, made request of type GET, on date and time 28/Jan/2010:03:51:41 -0800, accessed request path /favicon.ico, used HTTP/1.1 protocol, returned 200 status code, received 1406 bytes of data.
User with IP 10.65.3.157, made request of type GET, on date and time 28/Jan/2010:03:52:44 -0800, accessed request path /, used HTTP/1.1 protocol, returned 200 status code, received 14167 bytes of data.
User with IP 10.231.217.35, made request of type GET, on date and time 28/Jan/2010:03:52:45 -0800, accessed request path /displaytitle.php?id=246, used HTTP/1.1 protocol, returned 200 status code, received 4105 bytes of data.
User with IP 10.231.217.35, made request of type GET, on date and time 28/Jan/2010:03:52:46 -0800, accessed request path /images/filmmediablock/246/FistOfLegend_2DSleeve.jpg, used HTTP/1.1 protocol, returned 200 status code, received 215511 bytes of data.
User with IP 10.231.217.35, made request of type GET, on date and time 28/Jan/2010:03:52:47 -0800, accessed request path /images/filmmediablock/246/0005.jpg, used HTTP/1.1 protocol, returned 200 status code, received 100120 bytes of data.
User with IP 10.149.183.192, made request of type GET, on date and time 28/Jan/2010:04:22:23 -0800, accessed request path /images/filmpics/0000/0881/190-the-human-contract-stills-6-2362x1575.jpg, used HTTP/1.1 protocol, returned 200 status code, received 479901 bytes of data.
User with IP 10.149.183.192, made request of type GET, on date and time 28/Jan/2010:04:22:31 -0800, accessed request path /downloadSingle.php?id=881&fid=211, used HTTP/1.1 protocol, returned 200 status code, received 479901 bytes of data.
User with IP 10.216.113.172, made request of type GET, on date and time 28/Jan/2010:04:22:35 -0800, accessed request path /release-schedule/index.php?o=d&r=a&l=8&go=Go, used HTTP/1.1 protocol, returned 200 status code, received 15495 bytes of data.
